Student_ID,Hindi,English,Science,Maths,History,Geograpgy,Total
211,36,0,17,43,84,92,272
212,76,50,96,54,34,35,345
213,39,21,13,23,63,97,256
214,56,20,57,65,12,18,228
215,50,13,42,10,32,19,166
216,86,94,2,82,88,17,369
217,8,25,24,18,28,0,103
218,72,51,31,31,7,32,224
219,91,87,25,49,65,97,414
220,69,34,73,28,71,39,314
221,70,76,10,6,70,35,267
222,83,42,53,78,24,71,351
223,93,26,99,89,14,89,410
224,8,81,76,76,17,60,318
225,21,35,26,35,24,47,188
226,91,64,15,43,34,54,301
227,80,34,97,63,3,85,362
228,49,55,14,17,59,38,232
229,93,49,91,40,86,75,434
230,7,49,11,35,49,90,241
231,36,90,25,27,93,50,321
232,40,58,96,40,57,29,320
233,12,5,53,70,99,47,286
234,73,11,62,59,80,99,384
235,59,37,94,75,44,55,364
236,36,88,83,5,5,76,293
237,53,61,70,28,83,44,339
238,59,15,80,44,61,85,344
239,73,34,58,88,6,12,271
240,56,79,78,12,7,51,283
241,89,48,7,16,73,42,275
242,96,93,89,38,93,49,458
243,3,35,38,49,62,83,270
244,14,41,43,0,49,33,180
245,99,68,50,89,97,47,450
246,40,74,29,75,64,47,329
247,89,70,13,1,44,99,316
248,48,9,29,68,1,94,249
249,17,14,36,75,95,75,312
250,10,48,32,21,36,17,164
251,77,99,78,57,73,53,437
252,50,64,33,87,95,59,388
253,7,83,15,50,88,30,273
254,17,22,72,6,95,58,270
255,62,56,51,51,94,74,388
256,60,8,60,75,55,79,337
257,46,97,6,28,35,56,268
258,25,76,73,3,92,96,365
259,84,0,59,53,21,45,262
260,0,31,68,93,82,93,367
261,40,88,85,22,52,52,339
262,45,77,44,16,88,31,301
263,69,66,6,36,72,24,273
264,68,55,29,34,13,95,294
265,26,76,37,24,90,44,297
266,89,39,41,76,60,84,389
267,78,72,71,51,65,46,383
268,22,96,30,33,95,22,298
269,48,48,96,3,55,63,313
270,37,63,55,62,55,66,338
271,1,51,46,33,28,83,242
272,78,67,3,57,45,7,257
273,39,6,44,24,43,15,171
274,21,8,35,9,83,96,252
275,44,14,6,10,27,40,141
276,44,5,81,52,64,17,263
277,65,64,73,29,19,54,304
278,68,34,55,38,77,39,311
279,27,72,51,89,86,65,390
280,92,85,34,27,69,67,374
281,42,81,33,85,45,29,315
282,64,42,36,45,78,9,274
283,58,16,41,36,66,62,279
284,6,67,28,58,9,23,191
285,50,79,60,8,15,36,248
286,39,19,65,90,89,5,307
287,70,52,75,10,14,8,229
288,70,59,35,69,80,22,335
289,4,97,33,32,95,37,298
290,27,53,14,52,36,51,233
291,71,64,28,32,4,10,209
292,4,8,82,58,3,65,220
293,64,20,34,37,55,74,284
294,60,19,3,17,15,36,150
295,21,36,36,82,1,39,215
296,19,39,55,85,65,39,302
297,78,61,25,13,48,82,307
298,73,41,83,36,65,28,326
299,7,20,1,30,75,5,138
300,86,35,66,33,53,62,335
301,51,8,43,13,58,2,175
302,60,94,36,33,6,52,281
303,94,67,32,51,64,73,381
304,36,58,96,27,68,24,309
305,7,93,47,27,52,94,320
306,73,85,52,65,84,50,409
307,96,60,96,1,38,1,292
308,1,49,67,65,42,61,285
309,99,33,32,18,50,48,280
310,76,38,30,94,30,69,337
311,3,67,81,59,33,84,327
312,49,84,28,51,48,42,302
313,88,10,61,43,90,93,385
314,82,8,87,17,12,32,238
315,24,26,86,76,64,6,282
316,59,93,31,55,99,92,429
317,94,94,30,41,17,49,325
318,97,49,84,41,89,74,434
319,20,18,42,51,20,75,226
320,16,26,63,51,93,64,313
321,93,96,22,96,28,80,415
322,75,15,94,18,3,50,255
323,72,30,75,98,49,38,362
324,50,65,58,60,36,66,335
325,68,24,21,45,47,88,293
326,1,16,69,71,27,83,267
327,16,30,50,95,19,60,270
328,65,4,33,6,3,11,122
329,92,28,99,25,91,80,415
330,35,2,22,59,99,24,241
331,6,61,0,27,9,78,181
332,92,26,56,69,75,56,374
333,30,29,61,6,64,64,254
334,21,40,43,69,21,14,208
335,89,14,57,18,2,99,279
336,55,57,22,93,85,8,320
337,81,83,84,66,55,62,431
338,68,40,54,87,47,61,357
339,98,61,13,56,42,51,321
340,79,19,72,89,99,13,371
341,64,73,77,42,90,51,397
342,40,7,6,61,44,41,199
343,88,79,45,87,18,6,323
344,94,53,65,50,92,0,354
345,43,7,58,77,66,50,301
346,33,79,72,29,64,73,350
347,99,27,88,83,63,26,386
348,22,42,68,98,52,33,315
349,70,40,45,30,10,99,294
350,26,18,32,79,43,33,231
351,98,89,41,51,79,86,444
352,32,19,14,76,97,63,301
353,62,72,83,76,46,17,356
354,68,50,57,78,47,6,306
355,88,38,70,76,30,47,349
356,2,35,69,36,34,38,214
357,47,10,88,81,7,7,240
358,96,22,97,35,98,82,430
359,48,32,89,22,13,84,288
360,65,32,72,8,95,37,309
361,48,88,26,69,67,86,384
362,11,66,63,76,89,81,386
363,46,13,46,33,34,37,209
364,18,57,17,55,54,75,276
365,58,46,77,48,58,90,377
366,94,53,79,36,48,48,358
367,2,14,28,38,83,26,191
368,40,59,13,48,66,14,240
369,43,41,4,15,77,90,270
370,22,32,36,90,15,29,224
371,63,7,96,27,39,14,246
372,6,54,1,15,54,49,179
373,67,48,85,53,41,50,344
374,66,61,30,61,42,85,345
375,48,58,98,67,87,44,402
376,73,22,31,23,17,2,168
377,11,82,31,35,2,85,246
378,85,46,22,82,12,71,318
379,96,41,97,68,50,76,428
380,22,31,60,52,99,55,319
381,28,95,22,38,27,24,234
382,88,19,49,17,36,50,259
383,13,52,11,77,95,57,305
384,61,20,18,5,6,6,116
385,55,51,41,41,25,46,259
386,48,95,60,18,80,87,388
387,1,63,66,31,3,24,188
388,4,6,94,14,97,20,235
389,3,20,0,38,65,28,154
390,88,59,36,73,5,18,279
391,94,15,6,73,46,64,298
392,35,28,25,32,96,51,267
393,52,60,41,1,20,88,262
394,34,70,74,26,51,80,335
395,44,26,42,34,94,33,273
396,85,10,49,70,51,60,325
397,70,27,91,37,5,58,288
398,86,24,8,21,86,21,246
399,72,56,64,64,19,62,337
400,20,43,50,70,35,27,245
401,27,80,10,58,29,63,267
402,47,75,1,5,36,77,241
403,4,65,45,79,89,47,329
404,95,71,26,35,45,3,275
405,34,91,44,77,95,79,420
406,57,59,14,90,37,30,287
407,29,72,84,10,57,67,319
408,80,98,36,71,18,86,389
409,83,0,37,60,76,43,299
410,91,50,1,91,10,4,247
411,65,69,4,53,11,66,268
412,80,50,32,20,58,38,278
413,27,92,15,28,76,64,302
414,53,47,63,38,77,89,367
415,60,46,45,90,96,79,416
416,26,53,75,88,44,36,322
417,70,34,27,67,55,29,282
418,37,88,9,1,38,53,226
419,59,84,84,23,5,37,292
420,98,54,97,85,54,25,413
421,6,57,72,32,16,37,220
422,96,84,93,88,50,25,436
423,37,19,41,2,99,67,265
424,32,57,94,13,73,27,296
425,29,25,12,45,93,69,273
426,23,79,53,61,30,93,339
427,44,23,49,85,64,10,275
428,51,43,86,24,43,68,315
429,75,38,51,34,84,44,326
430,11,48,9,58,99,50,275
431,43,41,90,40,23,68,305
432,44,40,58,43,29,92,306
433,53,89,73,25,52,25,317
434,1,84,85,62,56,43,331
435,77,76,22,35,1,14,225
436,23,25,13,27,59,11,158
437,89,23,76,83,1,93,365
438,55,19,63,64,8,80,289
439,11,87,18,27,90,50,283
440,8,92,42,57,70,59,328
441,94,70,30,77,11,39,321
442,84,74,47,16,78,66,365
443,81,24,10,25,44,65,249
444,63,32,94,2,41,2,234
445,71,48,30,25,8,82,264
446,26,77,97,26,6,84,316
447,38,37,70,9,28,72,254
448,35,90,3,86,24,93,331
449,57,25,9,99,39,48,277
450,12,1,54,71,26,49,213
451,66,80,56,82,94,26,404
452,85,85,82,23,52,80,407
453,58,44,67,62,10,12,253
454,32,82,75,57,44,1,291
455,19,42,55,93,59,1,269
456,72,46,65,24,35,45,287
457,82,2,5,43,20,64,216
458,68,74,84,27,25,98,376
459,81,47,90,50,45,9,322
460,58,12,63,41,89,25,288
461,32,63,20,63,87,11,276
462,27,39,55,32,47,52,252
463,92,6,60,14,56,41,269
464,42,69,3,64,44,55,277
465,52,97,10,62,20,12,253
466,56,6,92,92,25,29,300
467,24,22,41,16,29,16,148
468,94,79,31,89,79,13,385
469,12,70,12,55,80,0,229
470,27,87,94,92,14,28,342
471,94,17,62,71,21,27,292
472,5,36,2,67,5,92,207
473,0,47,11,7,77,90,232
474,72,77,25,90,41,88,393
475,94,98,56,53,87,24,412
476,97,84,28,64,49,88,410
477,96,87,48,44,38,43,356
478,14,82,76,46,69,96,383
479,29,26,94,73,82,46,350
480,52,51,43,53,92,73,364
481,87,45,72,15,34,18,271
482,68,17,11,71,50,64,281
483,78,65,24,53,14,2,236
484,29,15,16,96,52,56,264
485,47,19,22,45,63,99,295
486,94,82,8,88,21,35,328
487,85,42,77,57,73,29,363
488,54,98,0,6,22,65,245
489,12,54,10,55,29,73,233
490,70,66,89,10,40,81,356
491,40,30,38,52,82,62,304
492,47,10,13,34,44,59,207
493,57,70,10,40,7,90,274
494,21,2,13,98,21,84,239
495,63,69,30,11,85,36,294
496,38,38,53,53,53,33,268
497,21,24,53,26,62,94,280
498,62,82,54,70,48,33,349
499,10,49,52,79,20,95,305
500,47,85,23,85,12,83,335
501,16,35,62,42,99,0,254
502,81,73,42,37,95,46,374
503,52,17,82,10,77,18,256
504,26,50,62,95,35,46,314
505,73,3,95,96,43,64,374
506,7,35,88,15,22,46,213
507,89,11,86,84,71,21,362
508,62,79,19,37,17,78,292
509,77,43,11,70,63,73,337
510,15,35,31,42,37,75,235
511,62,90,33,89,60,47,381
512,89,77,71,56,9,19,321
513,3,47,66,24,25,16,181
514,37,17,4,90,57,1,206
515,20,23,61,18,71,38,231
516,49,85,50,4,40,67,295
517,96,68,83,20,49,80,396
518,97,20,12,32,84,62,307
519,34,7,14,75,40,29,199
520,97,82,20,89,45,74,407
521,58,2,62,29,51,30,232
522,74,13,59,38,65,11,260
523,15,6,79,40,28,20,188
524,1,20,63,23,21,28,156
525,81,27,69,67,49,27,320
526,60,63,4,19,57,52,255
527,31,20,8,89,95,52,295
528,23,91,39,38,3,91,285
529,1,75,15,23,17,56,187
530,50,29,26,59,20,25,209
531,36,92,84,53,28,93,386
532,88,91,97,93,94,42,505
533,62,44,41,6,90,23,266
534,70,71,76,20,67,67,371
535,2,50,96,64,45,76,333
536,19,74,69,93,76,89,420
537,47,59,34,70,83,15,308
538,58,91,14,87,62,23,335
539,88,76,84,40,67,73,428
540,18,33,94,61,7,52,265
541,3,70,6,13,53,77,222
542,5,91,61,41,23,88,309
543,4,64,4,47,6,53,178
544,48,78,34,16,39,58,273
545,69,43,64,59,34,95,364
546,78,83,68,43,76,85,433
547,91,38,68,40,41,5,283
548,5,6,60,38,69,60,238
549,79,77,93,49,47,16,361
550,43,46,95,23,4,18,229
551,88,43,35,73,99,42,380
552,71,48,1,98,90,17,325
553,75,72,76,97,30,99,449
554,22,55,57,6,72,89,301
555,66,45,85,89,33,12,330
556,13,45,99,90,88,65,400
557,85,88,39,97,31,15,355
558,31,77,66,63,83,14,334
559,57,54,80,77,29,24,321
560,53,66,88,37,32,33,309
561,15,87,5,37,75,10,229
562,32,65,11,25,1,43,177
563,68,31,37,22,63,88,309
564,54,51,35,83,58,53,334
565,95,98,78,98,23,70,462
566,55,13,10,3,82,11,174
567,66,37,59,63,33,36,294
568,31,76,11,14,86,65,283
569,83,19,55,82,47,45,331
570,17,13,87,82,89,13,301
571,95,82,52,59,1,94,383
572,58,47,21,20,24,20,190
573,89,90,99,90,63,36,467
574,53,79,43,94,49,26,344
575,34,23,31,49,98,44,279
576,32,60,92,10,52,79,325
577,37,76,63,80,53,49,358
578,92,85,96,39,51,35,398
579,0,78,50,26,34,71,259
580,70,19,65,9,37,14,214
581,77,29,52,7,39,80,284
582,88,84,40,85,40,17,354
583,23,39,34,96,41,51,284
584,93,6,69,36,40,65,309
585,53,28,6,66,10,62,225
586,32,1,12,22,41,1,109
587,95,32,99,99,13,49,387
588,73,43,25,4,99,36,280
589,77,97,20,76,26,20,316
590,79,18,76,23,6,28,230
591,97,55,88,59,35,38,372
592,76,22,0,76,71,65,310
593,96,75,46,50,59,27,353
594,89,25,11,25,92,52,294
595,34,97,93,92,0,31,347
596,67,54,21,88,41,19,290
597,14,51,58,80,87,3,293
598,2,52,90,31,64,88,327
599,89,75,83,4,8,79,338
600,74,89,48,88,41,53,393
601,14,57,55,59,63,79,327
602,70,22,42,13,26,92,265
603,81,85,16,36,64,9,291
604,60,88,31,55,19,84,337
605,16,34,89,5,63,68,275
606,1,75,61,2,71,38,248
607,2,13,2,67,31,37,152
608,85,2,67,92,51,38,335
609,51,66,17,78,53,1,266
610,91,84,3,93,95,49,415
611,29,55,68,73,18,98,341
612,76,93,70,85,51,99,474
613,43,13,35,15,97,48,251
614,99,21,51,97,74,66,408
615,3,36,2,23,75,80,219
616,43,30,12,65,94,30,274
617,99,59,1,92,1,9,261
618,73,22,94,52,57,37,335
619,93,60,77,13,88,75,406
620,18,49,44,20,80,55,266
621,83,95,0,3,30,87,298
622,71,34,53,4,36,73,271
623,18,7,75,65,3,90,258
624,24,16,75,66,91,97,369
625,16,39,38,35,91,49,268
626,14,87,53,52,22,45,273
627,32,84,92,23,74,48,353
628,69,57,76,31,75,99,407
629,52,52,20,28,66,53,271
630,53,59,37,8,39,55,251
631,39,1,17,74,10,5,146
632,52,44,17,67,17,49,246
633,64,36,36,26,85,60,307
634,76,94,65,47,39,13,334
635,26,3,51,55,20,37,192
636,41,10,20,16,10,48,145
637,90,64,56,47,13,7,277
638,50,3,32,64,52,43,244
639,61,60,81,19,24,72,317
640,17,7,46,79,33,86,268
641,75,84,10,10,75,98,352
642,42,16,72,93,37,16,276
643,25,37,4,37,41,28,172
644,19,42,40,67,2,98,268
645,21,73,9,26,16,62,207
646,85,33,4,84,11,73,290
647,14,10,29,97,68,20,238
648,20,86,33,19,10,62,230
649,52,25,46,64,70,60,317
650,90,51,74,25,23,95,358
651,23,22,35,78,43,79,280
652,49,13,22,69,58,63,274
653,39,73,43,86,2,31,274
654,2,73,81,5,42,36,239
655,5,86,35,80,0,83,289
656,90,35,27,53,52,80,337
657,73,31,75,12,46,49,286
658,44,68,82,47,12,99,352
659,97,10,7,67,89,0,270
660,37,29,79,87,40,88,360
661,54,26,34,63,30,43,250
662,12,18,14,61,49,0,154
663,1,72,55,95,57,19,299
664,24,44,95,94,12,78,347
665,40,11,39,11,28,9,138
666,16,12,99,71,37,35,270
667,73,11,47,37,13,72,253
668,25,88,18,8,2,1,142
669,32,6,60,45,52,93,288
670,99,90,81,60,83,50,463
671,4,75,9,9,65,78,240
672,36,61,99,43,97,8,344
673,99,55,37,97,0,45,333
674,88,55,97,38,69,80,427
675,17,28,25,92,94,89,345
676,41,26,70,73,40,47,297
677,51,50,48,23,15,5,192
678,66,22,45,36,32,45,246
679,3,83,0,17,72,61,236
680,29,51,6,8,26,36,156
681,74,88,90,74,69,84,479
682,92,83,2,36,62,67,342
683,27,15,1,2,53,85,183
684,74,5,0,58,92,60,289
685,68,12,74,2,58,93,307
686,14,96,96,16,58,76,356
687,96,68,37,62,57,28,348
688,76,66,50,47,55,48,342
689,13,60,14,26,9,70,192
690,17,14,64,87,46,83,311
691,48,63,55,17,77,89,349
692,26,78,23,57,32,25,241
693,57,91,63,96,46,70,423
694,78,20,77,10,92,26,303
695,71,16,69,60,28,26,270
696,11,3,74,91,18,81,278
697,47,42,11,43,59,77,279
698,57,81,61,28,22,56,305
699,50,78,96,40,65,56,385
700,68,28,51,23,23,69,262
701,49,83,62,16,54,63,327
702,61,52,15,2,88,62,280
703,25,2,43,31,58,38,197
704,85,3,86,59,7,88,328
705,0,36,19,86,0,49,190
706,67,79,58,84,54,7,349
707,88,66,24,73,33,89,373
708,0,48,94,73,52,96,363
709,2,57,20,18,46,10,153
710,91,60,14,15,54,82,316
711,38,65,20,36,34,37,230
712,18,6,32,59,82,93,290
713,24,41,94,85,72,90,406
714,13,59,12,53,72,60,269
715,41,6,45,45,73,96,306
716,74,98,88,14,24,86,384
717,4,82,46,7,68,60,267
718,25,31,82,81,42,21,282
719,4,72,20,76,91,83,346
720,73,18,3,55,77,87,313
721,77,54,27,85,11,25,279
722,55,50,53,65,36,35,294
723,55,19,38,46,80,20,258
724,94,69,37,20,68,86,374
725,93,32,57,8,85,7,282
726,96,34,30,76,62,68,366
727,82,74,64,67,23,14,324
728,3,89,96,21,78,85,372
729,78,88,29,0,65,15,275
730,82,51,76,75,9,29,322
731,26,2,53,1,92,41,215
732,54,30,84,51,4,18,241
733,12,27,5,36,87,63,230
734,16,37,64,95,24,26,262
735,21,97,67,45,24,11,265
736,16,41,95,43,99,7,301
737,77,60,44,86,47,22,336
738,46,93,58,39,12,61,309
739,5,72,44,85,73,75,354
740,2,20,96,15,39,51,223
741,19,69,31,5,30,75,229
742,23,3,98,4,64,39,231
743,17,64,3,32,83,74,273
744,93,6,11,7,27,79,223
745,62,82,36,20,40,46,286
746,45,60,18,44,53,1,221
747,2,41,3,98,35,57,236
748,0,96,80,74,70,42,362
749,9,11,1,62,20,36,139
750,72,78,62,32,72,53,369
751,20,92,15,82,92,61,362
752,71,31,36,96,55,85,374
753,71,50,70,4,92,10,297
754,51,88,53,10,94,20,316
755,91,78,67,97,99,8,440
756,47,71,5,37,65,40,265
757,87,73,74,84,4,11,333
758,54,30,33,17,1,38,173
759,99,13,76,95,91,73,447
760,44,20,36,33,22,86,241
761,98,51,29,19,60,24,281
762,5,62,5,79,33,16,200
763,64,9,42,44,76,7,242
764,39,18,56,53,29,78,273
765,4,16,92,45,7,71,235
766,23,52,87,94,16,27,299
767,49,99,32,30,57,53,320
768,81,86,45,11,29,13,265
769,97,66,70,83,75,49,440
770,82,64,65,74,96,38,419
771,61,83,54,99,47,72,416
772,6,6,35,48,85,68,248
773,7,23,27,45,50,6,158
774,15,0,93,89,99,42,338
775,88,67,82,68,21,68,394
776,91,88,80,84,19,80,442
777,20,48,2,10,61,41,182
778,55,96,71,72,66,26,386
779,90,35,68,5,76,5,279
780,31,75,43,70,95,23,337
781,47,15,97,90,9,26,284
782,35,32,72,82,99,10,330
783,0,96,98,73,97,91,455
784,83,68,56,11,90,21,329
785,2,8,32,41,92,88,263
786,74,40,41,6,84,60,305
787,93,94,30,97,58,27,399
788,37,71,59,16,36,29,248
789,78,70,56,94,36,72,406
790,57,42,7,44,44,71,265
791,45,55,50,45,34,7,236
792,65,56,83,7,54,22,287
793,47,42,50,18,90,30,277
794,49,80,93,69,79,14,384
795,79,29,21,99,66,81,375
796,2,65,69,4,86,89,315
797,91,96,63,93,92,4,439
798,23,64,89,76,15,98,365
799,30,87,30,56,63,39,305
800,3,39,88,98,76,86,390
801,74,46,46,49,72,27,314
802,3,53,64,64,88,42,314
803,38,15,44,68,47,10,222
804,33,85,59,21,70,21,289
805,60,79,67,1,35,25,267
806,98,18,84,43,1,26,270
807,63,46,94,92,34,1,330
808,13,77,95,61,65,96,407
809,87,53,41,16,23,3,223
810,14,56,92,81,87,97,427
811,77,62,72,6,35,2,254
812,89,9,83,95,57,8,341
813,31,39,64,41,35,9,219
814,24,57,29,51,93,93,347
815,8,3,74,92,35,44,256
816,17,23,21,4,17,45,127
817,46,71,95,56,79,96,443
818,67,76,76,16,58,49,342
819,40,73,26,95,86,75,395
820,89,46,82,96,1,84,398
821,30,17,39,40,11,92,229
822,99,22,82,78,92,17,390
823,79,66,78,79,44,11,357
824,76,67,16,95,62,26,342
825,62,70,59,84,77,36,388
826,76,32,0,94,53,70,325
827,43,67,36,67,40,87,340
828,23,54,58,59,55,72,321
829,87,43,44,56,13,79,322
830,16,76,69,17,15,67,260
831,67,6,20,63,92,6,254
832,30,61,70,46,12,41,260
833,8,57,54,5,81,61,266
834,96,96,82,87,67,53,481
835,24,87,51,0,75,8,245
836,62,12,25,58,82,59,298
837,71,9,38,55,8,91,272
838,92,38,51,94,98,26,399
839,79,62,71,68,84,79,443
840,24,83,85,42,77,80,391
841,5,13,14,38,38,15,123
842,99,53,61,5,10,65,293
843,14,68,80,84,81,20,347
844,16,51,18,69,18,40,212
845,93,30,19,94,17,63,316
846,85,47,73,33,93,27,358
847,39,45,66,93,18,84,345
848,54,61,26,0,43,24,208
849,62,81,43,47,81,75,389
850,63,63,58,63,29,99,375
851,96,76,22,17,20,23,254
852,38,8,77,37,82,70,312
853,50,43,15,16,83,49,256
854,89,5,49,42,35,5,225
855,90,57,33,91,90,14,375
856,73,50,36,76,88,89,412
857,6,94,50,98,82,85,415
858,76,26,9,91,23,14,239
859,2,45,37,32,17,42,175
860,84,36,55,14,22,61,272
861,34,64,45,51,25,54,273
862,77,29,50,33,68,96,353
863,90,91,26,86,55,67,415
864,15,98,19,56,18,71,277
865,88,18,7,39,60,17,229
866,32,8,61,50,53,36,240
867,28,98,83,41,1,94,345
868,48,15,68,35,12,47,225
869,70,42,65,73,43,71,364
870,56,54,34,61,30,19,254
